player,episode,date,team_reported,status,player_id,cricsheet_name,candidates
Mahmudul Hasan Joy,1,2020-11-28,Bangladesh U19 / Gazi Group Chattogram,unique,4b51bd51,Mahmudul Hasan Joy,Mahmudul Hasan Joy [4b51bd51] Bangladesh; Comilla Victorians; Khulna Tigers n=33
Mahmudullah,1,2020-11-08,Bangladesh / Multan Sultans,unique,bf1d7d3e,Mahmudullah,Mahmudullah [bf1d7d3e] Bangladesh; Khulna Titans; Fortune Barishal; Quetta Gladiators n=243
Majid Haq,1,2020-03-20,Scotland,unmatched,,,
Marcus Stoinis,1,2022-12-13,Melbourne Stars,unique,d9273ee7,MP Stoinis,MP Stoinis [d9273ee7] Australia; Melbourne Stars; Delhi Capitals; Lucknow Super Giants n=303
Mark Chapman,1,2022-03-27,New Zealand,unique,7fa12533,MS Chapman,MS Chapman [7fa12533] New Zealand; Auckland; Auckland Aces; St Lucia Stars n=145
Mashrafe Mortaza,1,2020-06-19,Bangladesh,unique,e186f49c,Mashrafe Mortaza,Mashrafe Mortaza [e186f49c] Bangladesh; Rangpur Riders; Sylhet Strikers; Dhaka Platoon n=111
Matthew Wade,1,2022-10-27,Australia,unique,afa7e784,MS Wade,MS Wade [afa7e784] Australia; Hobart Hurricanes; Tasmania; Gujarat Titans n=228
Melie Kerr,1,2022-07-16,New Zealand women,manual: Melie is Amelia Kerr (AC Kerr); auto-match to JM Kerr was her sister Jess,7673c908,JM Kerr,JM Kerr [9af58032] New Zealand; Wellington; Brisbane Heat; Warriors n=109
Michael Bracewell,1,2022-06-15,New Zealand,unique,e38bce7a,MG Bracewell,MG Bracewell [e38bce7a] Wellington; New Zealand; Wellington Firebirds; Worcestershire n=142
Mickey Edwards,1,2022-01-26,Sydney Sixers,unique,5f222a64,MW Edwards,MW Edwards [5f222a64] New South Wales; Sydney Sixers; Yorkshire n=10
Mitchell Marsh,1,2022-04-18,Delhi Capitals,unique,3d8feaf8,MR Marsh,MR Marsh [3d8feaf8] Australia; Perth Scorchers; Delhi Capitals; Western Australia n=176
Mitchell Santner,1,2022-07-03,New Zealand,unique,e4a0deae,MJ Santner,MJ Santner [e4a0deae] New Zealand; Northern Districts; Worcestershire; Chennai Super Kings n=265
